datetime,Electricity_Consumption[MW],Taux de Co2,Heat_demand[MW],cciag_co2,pv,electricity_price[€/kWh],district_heating_price[€/kWh],elec_export_price[€/kWh],PV_Cap_S1_KWp,estimated_CO2_S1_elec,estimated_CO2_S1_pv,estimated_CO2_district_heating,estimated_CO2_S1_total,Consumption_S1,PV_production_S1,PV_Cap_S2_KWp,estimated_CO2_S2_elec,estimated_CO2_S2_pv,estimated_CO2_S2_total,Consumption_S2,PV_production_S2,Buffer_Cap_S3_KWp,Buffer_Power_S3_KW,Buffer_Energy_S3_KW,heatpump_elec_Power_S3_KW,heatpump_thermal_Power_S3_KW,heatpump_elec_binary_S3,surplus_elec_cons_Power_S3_kW,surplus_therm_prod_Power_S3_kW,estimated_CO2_S3_elec,estimated_CO2_S3_district_heat,estimated_CO2_S3_buffer,estimated_CO2_S3_heatpump,estimated_CO2_S3_total,Consumption_S3,Consumption_S3_compare,heat_demand_district_heat_S3_kW,heat_demand_district_heat_S3_MW,PV_Cap_S4_KWp,Buffer_Cap_S4_KWp,Buffer_Power_S4_KW,Buffer_Energy_S4_KW,heatpump_elec_Power_S4_KW,heatpump_thermal_Power_S4_KW,heatpump_elec_binary_S4,surplus_elec_cons_Power_S4_kW,surplus_therm_prod_Power_S4_kW,estimated_CO2_S4_elec,estimated_CO2_S4_district_heat,estimated_CO2_S4_buffer,estimated_CO2_S4_pv,estimated_CO2_S4_heatpump,estimated_CO2_S4_total,Consumption_S4,Consumption_S4_compare,PV_production_S4,heat_demand_district_heat_S4_kW,heat_demand_district_heat_S4_MW,PV_Cap_S5_KWp,Buffer_Cap_S5_KWp,Buffer_Power_S5_KW,Buffer_Energy_S5_KW,heatpump_elec_Power_S5_KW,heatpump_thermal_Power_S5_KW,heatpump_elec_binary_S5,surplus_elec_cons_Power_S5_kW,surplus_therm_prod_Power_S5_kW,estimated_CO2_S5_elec,estimated_CO2_S5_district_heat,estimated_CO2_S5_buffer,estimated_CO2_S5_pv,estimated_CO2_S5_heatpump,estimated_CO2_S5_total,Consumption_S5,Consumption_S5_compare,PV_production_S5,heat_demand_district_heat_S5_kW,heat_demand_district_heat_S5_MW
2023-01-24 00:00:00,0.0,603.79,0.380005,91,0.0,0.05735,0.0695699999999999,0.16485,27789.52601924281,0.0,0.0,34580.455,34580.455,0.0,0.0,21260.03786641277,94493.135,0.0,129073.59,156.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0425,5.986125,98745.326075,34580.455,0.0,0.0,133325.781075,156.5,156.5,380.005,0.380005,21938.20968565848,24228.37867556879,0.0,24213.426467235,0.0,0.0,1.0,7.04250000000161,5.986125000001368,98745.32607502256,34580.455,0.0,0.0,0.0,133325.78107502256,156.5,156.5,0.0,380.005,0.380005,155815.71008182378,538.1633333333334,0.0,0.0,69.5055625,208.5166875,1.0,7.0425,5.986125,60379000.0,15605.4364375,0.0,0.0,8393.352716374999,60402998.789153874,156.5,156.5,0.0,171.4883125,0.17148831250000002
2023-01-24 01:00:00,0.0,607.59,0.410085,91,0.0,0.05735,0.0695699999999999,0.16003,27789.52601924281,0.0,0.0,37317.735,37317.735,0.0,0.0,21260.03786641277,1199281.3949979746,0.0,1236599.1299979747,1973.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.82249999985,75.49912499987249,1253249.0577728834,37317.735,0.0,0.0,1290566.7927728835,1973.83333333,1973.83333333,410.085,0.410085,21938.20968565848,24228.37867556879,0.0,24213.426467235,0.0,0.0,1.0,88.82249999985896,75.49912499988011,1253249.05777301,37317.735,0.0,0.0,0.0,1290566.7927730102,1973.83333333,1973.8333333301991,0.0,410.085,0.410085,155815.71008182378,538.1633333333334,450.6614166669924,0.0,136.695,410.085,1.0,88.82249999985,75.49912499987249,60759000.0,0.0,0.0,0.0,16610.903009999998,60775610.90301,1973.83333333,1973.8333333299997,0.0,0.0,0.0
2023-01-24 02:00:00,0.0,603.63,0.452785,91,0.0,0.05735,0.0695699999999999,0.15972,27789.52601924281,0.0,0.0,41203.435,41203.435,0.0,0.0,21260.03786641277,71429.5499997988,0.0,112632.9849997988,118.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.324999999985,4.526249999987249,74643.87974978973,41203.435000000005,0.0,0.0,115847.31474978974,118.333333333,118.33333333299998,452.785,0.452785,21938.20968565848,24228.37867556879,0.0,24213.426467235,0.0,0.0,1.0,5.324999999994183,4.526249999995055,74643.87974991846,41203.435000000005,0.0,0.0,0.0,115847.31474991849,118.33333333333331,118.33333333333331,0.0,452.785,0.452785,155815.71008182378,538.1633333333334,-196.74708333362943,450.6614166669924,150.92833333333334,452.785,1.0,5.324999999985,4.526249999987249,60363000.0,0.0,0.0,0.0,18220.973969999995,60381220.97397,118.33333333333333,118.33333333333333,0.0,0.0,0.0
2023-01-24 03:00:00,0.0,594.52,0.4679199999999999,91,0.0,0.05735,0.0695699999999999,0.1525099999999999,27789.52601924281,0.0,0.0,42580.72,42580.72,0.0,0.0,21260.03786641277,38841.97333331352,0.0,81422.69333331351,65.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9399999999985003,2.498999999998725,40589.86213331263,42580.72,0.0,0.0,83170.58213331262,65.3333333333,65.3333333333,467.92,0.46792,21938.20968565848,24228.37867556879,0.0,24213.426467235,0.0,0.0,1.0,2.940000000007683,2.4990000000065304,40589.8621334394,42580.72,0.0,0.0,0.0,83170.5821334394,65.33333333333333,65.33333333333333,0.0,467.92,0.46792,155815.71008182378,538.1633333333334,-253.91433333336298,253.91433333336295,155.97333333333333,467.91999999999996,1.0,2.9399999999985003,2.498999999998725,59452000.0,0.0,0.0,0.0,18545.85322666666,59470545.85322667,65.33333333333333,65.33333333333333,0.0,0.0,0.0
2023-01-24 04:00:00,0.0,599.29,0.788425,91,0.0,0.05735,0.0695699999999999,0.1536,27789.52601924281,0.0,0.0,71746.67500000002,71746.67500000002,0.0,0.0,21260.03786641277,633449.5299999999,0.0,705196.205,1057.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.565000000000005,40.43025,661954.75885,71746.675,0.0,0.0,733701.43385,1057.0,1057.0,788.425,0.7884249999999999,21938.20968565848,24228.37867556879,0.0,24213.426467235,0.0,0.0,1.0,47.56500000001884,40.43025000001602,661954.7588502622,71746.675,0.0,0.0,0.0,733701.4338502622,1057.0,1057.0,0.0,788.425,0.7884249999999999,155815.71008182378,538.1633333333334,0.0,0.0,262.80833333333334,788.425,1.0,47.565000000000005,40.43025,59929000.0,0.0,0.0,0.0,31499.68121666666,59960499.681216665,1057.0,1057.0,0.0,0.0,0.0
2023-01-24 05:00:00,0.0,609.73,1.336735,91,0.0,0.05735,0.0695699999999999,0.16696,27789.52601924281,0.0,0.0,121642.885,121642.885,0.0,0.0,21260.03786641277,1582249.35,0.0,1703892.235,2595.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.775,99.25875,1653450.5707500002,121642.885,0.0,0.0,1775093.4557500002,2595.0,2595.0,1336.735,1.336735,21938.20968565848,24228.37867556879,0.0,24213.426467235,0.0,0.0,1.0,116.77500000002456,99.25875000002088,1653450.5707503478,121642.885,0.0,0.0,0.0,1775093.4557503478,2595.0,2595.0,0.0,1336.735,1.336735,155815.71008182378,538.1633333333334,538.1633333333334,0.0,445.5783333333333,1336.735,1.0,116.775,99.25875,60973000.0,0.0,0.0,0.0,54336.49543666665,61027336.49543667,2595.0,2595.0,0.0,0.0,0.0
2023-01-24 06:00:00,0.0,619.78,1.580445,91,0.0,0.22622,0.0695699999999999,0.18361,27789.52601924281,0.0,0.0,143820.49500000002,143820.49500000002,0.0,0.0,21260.03786641277,10432.963333312671,0.0,154253.4583333127,16.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7574999999985,0.643874999998725,10902.446683311744,143820.495,0.0,0.0,154722.94168331174,16.8333333333,16.8333333333,1580.445,1.580445,21938.20968565848,24228.37867556879,14.952208333790551,24213.426467235,0.0,0.0,1.0,0.7575000000231634,0.6438750000196889,10902.446683666716,143820.495,0.0,0.0,0.0,154722.94168366672,16.833333333333332,16.833333333333332,0.0,1580.445,1.580445,155815.71008182378,538.1633333333334,0.0,538.1633333333334,0.0,0.0,1.0,0.7574999999985,0.643874999998725,10902.446683311744,143820.495,0.0,0.0,0.0,154722.94168331174,16.833333333333332,16.833333333333332,0.0,1580.445,1.5804449999999999
2023-01-24 07:00:00,0.0,615.83,1.593265,91,0.0006161904761904,0.22622,0.0695699999999999,0.21,27789.52601924281,0.0,616.4510857520985,144987.115,145603.5660857521,0.0,17.123643723807405,21260.03786641277,0.0,471.6083828420036,145458.723382842,0.0,13.100234171426951,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144987.11500000002,0.0,0.0,144987.11500000002,0.0,0.0,1593.265,1.5932650000000002,21938.20968565848,24228.37867556879,-27.036231744308164,24228.37867556879,13.51811587239503,40.55434761718509,1.0,0.0,0.0,0.0,141296.66936683617,0.0,0.0,1664.9722595394062,142961.64162637558,0.0,0.0,13.518116066664994,1552.710652382815,1.552710652382815,155815.71008182378,538.1633333333334,0.0,538.1633333333334,0.0,0.0,1.0,0.0,0.0,0.0,144987.11500000002,0.0,0.0,0.0,144987.11500000002,0.0,0.0,96.01215654284526,1593.265,1.5932650000000002
2023-01-24 08:00:00,0.0,610.51,1.649925,91,0.0244547619047619,0.22622,0.0695699999999999,0.2511,27789.52601924281,0.0,24465.104720921787,150143.17500000002,174608.2797209218,0.0,679.5863395952379,21260.03786641277,0.0,18716.72990796564,168859.90490796565,0.0,519.9092162857141,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,150143.175,0.0,0.0,150143.175,0.0,0.0,1649.925,1.649925,21938.20968565848,24228.37867556879,-1072.9873889590951,24201.342443824484,536.4936944797885,1609.4810834393654,1.0,0.0,0.0,0.0,3680.396407017743,0.0,0.0,65506.95308337111,69187.34949038885,0.0,0.0,536.4937021666665,40.44391656063453,0.0404439165606345,155815.71008182378,538.1633333333334,0.0,538.1633333333334,0.0,0.0,1.0,0.0,0.0,58724690.66203576,150143.175,0.0,0.0,0.0,58874833.83703576,0.0,0.0,3810.4360890714274,1649.925,1.6499249999999999
2023-01-24 09:00:00,0.1565,604.37,1.71229,91,0.1158957142857142,0.22622,0.0695699999999999,0.25643,27789.52601924281,0.0,115944.730836103,155818.39,271763.120836103,156.5,3220.687429014283,21260.03786641277,0.0,88702.10187391138,244520.4918739114,0.0,2463.947521542856,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,155818.38999999998,0.0,0.0,155818.38999999998,0.0,0.0,1712.29,1.71229,21938.20968565848,24228.37867556879,-1141.526666666158,23128.355054865388,570.7633333333333,1712.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68990.44715333331,68990.44715333331,0.0,0.0,2542.544518099998,0.0,0.0,155815.71008182378,538.1633333333334,0.0,538.1633333333334,0.0,0.0,1.0,0.0,0.0,49523061.09976813,155818.38999999998,0.0,0.0,0.0,49678879.48976813,0.0,0.0,18058.3730073857,1712.29,1.7122899999999999
