datetime,Electricity_Consumption[MW],Taux de Co2,Heat_demand[MW],cciag_co2,pv,electricity_price[€/kWh],elec_export_price[€/kWh],district_heating_price[€/kWh],PV_Cap_S1_KWp,grid_import_S1_kWh,grid_export_S1_kWh,OPEX_S1_€,estimated_CO2_S1_elec,estimated_CO2_S1_pv,estimated_CO2_district_heating,estimated_CO2_S1_total,Consumption_S1,PV_production_S1,PV_Cap_S2_KWp,grid_import_S2_kWh,grid_export_S2_kWh,OPEX_S2_€,estimated_CO2_S2_elec,estimated_CO2_S2_pv,estimated_CO2_S2_total,Consumption_S2,PV_production_S2,grid_import_S3_kWh,grid_export_S3_kWh,OPEX_S3_€,Buffer_Cap_S3_KWp,Buffer_Power_S3_KW,Buffer_Energy_S3_KW,heatpump_elec_Power_S3_KW,heatpump_thermal_Power_S3_KW,heatpump_elec_binary_S3,surplus_elec_cons_Power_S3_kW,surplus_therm_prod_Power_S3_kW,estimated_CO2_S3_elec,estimated_CO2_S3_district_heat,estimated_CO2_S3_buffer,estimated_CO2_S3_heatpump,estimated_CO2_S3_total,Consumption_S3,Consumption_S3_compare,heat_demand_district_heat_S3_kW,heat_demand_district_heat_S3_MW,grid_import_S4_kWh,grid_export_S4_kWh,OPEX_S4_€,PV_Cap_S4_KWp,Buffer_Cap_S4_KWp,Buffer_Power_S4_KW,Buffer_Energy_S4_KW,heatpump_elec_Power_S4_KW,heatpump_thermal_Power_S4_KW,heatpump_elec_binary_S4,surplus_elec_cons_Power_S4_kW,surplus_therm_prod_Power_S4_kW,estimated_CO2_S4_elec,estimated_CO2_S4_district_heat,estimated_CO2_S4_buffer,estimated_CO2_S4_pv,estimated_CO2_S4_heatpump,estimated_CO2_S4_total,Consumption_S4,Consumption_S4_compare,PV_production_S4,heat_demand_district_heat_S4_kW,heat_demand_district_heat_S4_MW
2023-01-24 00:00:00,0.0433333333333333,603.79,0.380005,91,0.0,0.33,0.16485,0.0695699999999999,18699.98821029776,43.333333333333336,0.0,14.3,26164.233333313205,0.0,34580.455,60744.68833331321,43.3333333333333,0.0,19099.84738713744,43.333333333333336,0.0,14.3,26164.233333313205,0.0,60744.68833331321,43.333333333333336,0.0,45.28333333333333,0.0,14.9435,0.0,0.0,0.0,0.0,0.0,1.0,1.95,1.657500000022983,27341.62383333333,34580.455,0.0,0.0,61922.07883333333,43.333333333333336,43.333333333333336,380.005,0.380005,45.2833333332985,0.0,14.943499999988505,19334.67935719638,24018.980927485434,38.490833333358765,1782.9945437049973,0.0,0.0,1.0,1.9499999999985,1.657499999998725,27341.6238333123,34580.455,0.0,0.0,0.0,61922.078833312306,43.3333333333,43.3333333333,0.0,380.005,0.380005
2023-01-24 01:00:00,0.0416666666666666,607.59,0.410085,91,0.0,0.33,0.16015,0.0695699999999999,18699.98821029776,41.66666666666666,0.0,13.75,25316.25,0.0,37317.735,62633.985,41.6666666666666,0.0,19099.84738713744,43.333333333333336,0.0,14.3,26328.899999979745,0.0,63646.63499997975,43.333333333333336,0.0,45.28333333333333,0.0,14.9435,0.0,0.0,0.0,0.0,0.0,1.0,1.95,1.657500000012471,27513.7005,37317.735,0.0,0.0,64831.4355,43.333333333333336,43.333333333333336,410.085,0.410085,45.2833333332985,0.0,14.943499999988505,19334.67935719638,24018.980927485434,38.49083333332965,1821.485377038356,0.0,0.0,1.0,1.9499999999985,1.657499999998725,27513.700499978837,37317.735,0.0,0.0,0.0,64831.435499978834,43.3333333333,43.3333333333,0.0,410.085,0.410085
2023-01-24 02:00:00,0.0433333333333333,603.63,0.452785,91,0.0,0.33,0.1563,0.0695699999999999,18699.98821029776,43.333333333333336,0.0,14.3,26157.29999997988,0.0,41203.435,67360.73499997988,43.3333333333333,0.0,19099.84738713744,41.66666666666666,0.0,13.75,25151.25,0.0,66354.685,41.66666666666666,0.0,43.54166669591691,0.0,14.36875000965258,0.0,0.0,0.0,0.0,0.0,1.0,1.87500000125958,1.593750001070643,26283.056267656324,41203.435000000005,0.0,0.0,67486.49126765633,41.66666669471208,41.66666669465733,452.785,0.452785,43.5416666667015,0.0,14.368750000011497,19334.67935719638,24018.980927485434,0.0,1859.9762103716857,0.0,0.0,1.0,1.8750000000015001,1.593750000001275,26283.05625002103,41203.435000000005,0.0,0.0,0.0,67486.49125002103,41.6666666667,41.6666666667,0.0,452.785,0.45278500000000005
2023-01-24 03:00:00,0.0416666666666666,594.52,0.4679199999999999,91,0.0,0.33,0.15036,0.0695699999999999,18699.98821029776,41.66666666666666,0.0,13.75,24771.666666666664,0.0,42580.72,67352.38666666666,41.6666666666666,0.0,19099.84738713744,43.333333333333336,0.0,14.3,25762.53333331352,0.0,68343.2533333135,43.333333333333336,0.0,45.28333333333333,0.0,14.9435,0.0,0.0,0.0,0.0,0.0,1.0,1.95,1.6575000000246,26921.84733333333,42580.72,0.0,0.0,69502.56733333334,43.333333333333336,43.333333333333336,467.92,0.46792,45.2833333332985,0.0,14.943499999988505,19334.67935719638,24018.980927485434,0.0,1859.9762103716857,0.0,0.0,1.0,1.9499999999985,1.657499999998725,26921.847333312624,42580.72,0.0,0.0,0.0,69502.56733331262,43.3333333333,43.3333333333,0.0,467.92,0.46792
2023-01-24 04:00:00,0.0433333333333333,599.29,0.788425,91,0.0,0.33,0.15375,0.0695699999999999,18699.98821029776,43.333333333333336,0.0,14.3,25969.23333331336,0.0,71746.67500000002,97715.90833331336,43.3333333333333,0.0,19099.84738713744,41.66666666666666,0.0,13.75,24970.416666666664,0.0,96717.09166666667,41.66666666666666,0.0,43.54166666664457,0.0,14.36874999999271,0.0,0.0,0.0,0.0,0.0,1.0,1.8749999999990483,1.593749999999191,26094.085416653423,71746.675,0.0,0.0,97840.76041665344,41.66666666666666,41.66666666666666,788.425,0.7884249999999999,43.541666666666664,-3.33386651618639e-11,14.368750000005127,19334.67935719638,24018.980927485434,37.01041666675884,1859.9762103716857,0.0,0.0,1.0,1.875,1.59375,26094.085416666665,71746.675,0.0,0.0,0.0,97840.76041666667,41.6666666667,41.666666666666664,0.0,788.425,0.7884249999999999
2023-01-24 05:00:00,0.0433333333333333,609.73,1.336735,91,0.0,0.33,0.16404,0.0695699999999999,18699.98821029776,43.333333333333336,0.0,14.3,26421.63333331301,0.0,121642.885,148064.51833331303,43.3333333333333,0.0,19099.84738713744,41.66666666666666,0.0,13.75,25405.416666666664,0.0,147048.30166666667,41.66666666666666,0.0,43.54166666668309,0.0,14.368750000005422,0.0,0.0,0.0,0.0,0.0,1.0,1.8750000000007077,1.5937500000006013,26548.66041667668,121642.885,0.0,0.0,148191.54541667667,41.66666666666666,41.66666666666666,1336.735,1.336735,43.5416666667015,0.0,14.368750000011497,19334.67935719638,24018.980927485434,0.0,1896.9866270384446,0.0,0.0,1.0,1.8750000000015001,1.593750000001275,26548.660416687908,121642.885,0.0,0.0,0.0,148191.5454166879,41.6666666667,41.6666666667,0.0,1336.735,1.336735
2023-01-24 06:00:00,0.0433333333333333,619.78,1.580445,91,0.0,0.33,0.18361,0.0695699999999999,18699.98821029776,43.333333333333336,0.0,14.3,26857.13333331267,0.0,143820.49500000002,170677.6283333127,43.3333333333333,0.0,19099.84738713744,43.333333333333336,0.0,14.3,26857.13333331267,0.0,170677.6283333127,43.333333333333336,0.0,45.28333333333333,0.0,14.9435,0.0,0.0,0.0,0.0,0.0,1.0,1.95,1.6574999999990565,28065.70433331736,143820.495,0.0,0.0,171886.19933331737,43.333333333333336,43.333333333333336,1580.445,1.580445,45.28333333333333,3.33315597345063e-11,14.94349999999388,19334.67935719638,24018.980927485434,0.0,1896.9866270384446,0.0,0.0,1.0,1.95,1.6575,28065.70433333333,143820.495,0.0,0.0,0.0,171886.19933333332,43.3333333333,43.33333333333333,0.0,1580.445,1.5804449999999999
2023-01-24 07:00:00,0.0433333333333333,615.83,1.593265,91,0.0006161904761904,0.33,0.21008,0.0695699999999999,18699.98821029776,31.81057869324286,0.0,10.497490968770144,19589.90867665975,441.32150271394414,144987.115,165018.3451793737,43.3333333333333,11.52275574285572,19099.84738713744,29.89752261005924,0.0,9.86618246131955,18411.791348952785,450.75821736917976,163849.66456632194,41.66666666666666,11.76914566666521,43.54166666665194,0.0,14.368749999995142,0.0,0.0,0.0,0.0,0.0,1.0,1.8749999999993656,1.5937499999994609,26814.264583324268,144987.11500000002,0.0,0.0,171801.37958332428,41.66666666666666,41.66666666666666,1593.265,1.5932650000000002,31.627821386609703,0.0,10.437181057581203,19334.67935719638,24018.980927485434,0.0,1896.9866270384446,0.0,0.0,1.0,1.875,1.59375,19477.361244515854,144987.11500000002,0.0,0.0,0.0,164464.47624451588,41.6666666667,41.666666666666664,11.913845676189004,1593.265,1.5932650000000002
2023-01-24 08:00:00,0.0366666666666666,610.51,1.649925,91,0.0244547619047619,0.33,0.2511,0.0695699999999999,18699.98821029776,0.0,420.6370926387026,-105.62197396157822,0.0,17514.733981396766,150143.17500000002,167657.9089813968,36.6666666666666,457.3038030714285,19099.84738713744,0.0,427.0822202704585,-107.24034550991212,0.0,17889.249036358713,168032.42403635872,40.0,467.0822841666665,41.8,0.0,13.794,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.529999999999326,25519.31799998876,150143.175,0.0,0.0,175662.49299998875,40.0,40.0,1649.925,1.649925,0.0,0.0,0.0,19334.67935719638,24018.980927485434,-826.519960371778,1896.9866270384446,431.024980185889,1293.0749405576669,1.0,1.7999999999999998,1.5299999999999998,0.0,32473.35540925231,0.0,0.0,14209.833275277517,32473.35540925231,40.0,39.99999999999999,472.8249959047618,356.8500594423331,0.35685005944233306
2023-01-24 09:00:00,0.0283333333333333,604.37,1.71229,91,0.1158957142857142,0.33,0.25643,0.0695699999999999,18699.98821029776,0.0,2138.91515743894,-548.4820138220673,0.0,83005.61719657668,155818.39,238824.00719657668,28.3333333333333,2167.248698185713,19099.84738713744,0.0,2133.590455685888,-547.1166005515322,0.0,84780.51445276938,240598.90445276932,80.0,2213.590758499998,83.6,0.0,27.588,0.0,0.0,0.0,0.0,0.0,1.0,3.6,3.059999999996496,50525.331999942144,155818.38999999998,0.0,0.0,206343.7219999421,80.0,80.0,1712.29,1.71229,0.0,1586.4431412597205,-406.81161471323014,19334.67935719638,24018.980927485434,-1070.4666666666667,1070.4666666666667,570.7633333333333,1712.29,1.0,3.6,3.06,0.0,0.0,0.0,0.0,18627.420731400016,0.0,80.0,80.0,2240.8065490857125,0.0,0.0
