datetime,Electricity_Consumption[MW],Taux de Co2,Heat_demand[MW],cciag_co2,pv,electricity_price[€/kWh],elec_export_price[€/kWh],district_heating_price[€/kWh],PV_Cap_S1_KWp,grid_import_S1_kWh,grid_export_S1_kWh,OPEX_S1_€,estimated_CO2_S1_elec,estimated_CO2_S1_pv,estimated_CO2_district_heating,estimated_CO2_S1_total,Consumption_S1,PV_production_S1,PV_Cap_S2_KWp,grid_import_S2_kWh,grid_export_S2_kWh,OPEX_S2_€,estimated_CO2_S2_elec,estimated_CO2_S2_pv,estimated_CO2_S2_total,Consumption_S2,PV_production_S2,grid_import_S3_kWh,grid_export_S3_kWh,OPEX_S3_€,Buffer_Cap_S3_KWp,Buffer_Power_S3_KW,Buffer_Energy_S3_KW,heatpump_elec_Power_S3_KW,heatpump_thermal_Power_S3_KW,heatpump_elec_binary_S3,surplus_elec_cons_Power_S3_kW,surplus_therm_prod_Power_S3_kW,estimated_CO2_S3_elec,estimated_CO2_S3_district_heat,estimated_CO2_S3_buffer,estimated_CO2_S3_heatpump,estimated_CO2_S3_total,Consumption_S3,Consumption_S3_compare,heat_demand_district_heat_S3_kW,heat_demand_district_heat_S3_MW,grid_import_S4_kWh,grid_export_S4_kWh,OPEX_S4_€,PV_Cap_S4_KWp,Buffer_Cap_S4_KWp,Buffer_Power_S4_KW,Buffer_Energy_S4_KW,heatpump_elec_Power_S4_KW,heatpump_thermal_Power_S4_KW,heatpump_elec_binary_S4,surplus_elec_cons_Power_S4_kW,surplus_therm_prod_Power_S4_kW,estimated_CO2_S4_elec,estimated_CO2_S4_district_heat,estimated_CO2_S4_buffer,estimated_CO2_S4_pv,estimated_CO2_S4_heatpump,estimated_CO2_S4_total,Consumption_S4,Consumption_S4_compare,PV_production_S4,heat_demand_district_heat_S4_kW,heat_demand_district_heat_S4_MW
2023-01-24 00:00:00,0.0433333333333333,72.5,0.380005,91,0.0,0.05735,0.16485,0.0695699999999999,75.45644816206669,43.333333333333336,0.0,2.4851666666666667,3141.6666666666665,0.0,34580.455,37722.121666666666,43.3333333333333,0.0,0.0,43.3333333333,0.0,2.485166666664755,3141.66666666425,0.0,37722.12166666425,43.3333333333,0.0,171.95166666662442,0.0,9.86142808333091,31289.843749876,-214.84583333336923,28071.50487501905,126.66833333333334,380.005,1.0,1.95,1.657499999998454,12466.495833330271,0.0,0.0,1836.6908333333329,12466.495833330271,43.33333333333983,43.333333333333336,0.0,0.0,171.951666666613,0.0,9.861428083330255,0.0,31289.843750000193,-214.84583333337895,28071.50487494151,126.66833333333334,380.005,1.0,1.95,1.6574999999980362,12466.495833329442,0.0,0.0,0.0,1836.6908333333329,12466.495833329442,43.333333333333336,43.333333333333336,0.0,0.0,0.0
2023-01-24 01:00:00,0.0416666666666666,77.5,0.410085,91,0.0,0.05735,0.16003,0.0695699999999999,75.45644816206669,41.66666666666666,0.0,2.389583333333333,3229.1666666666665,0.0,37317.735,40546.901666666665,41.6666666666666,0.0,0.0,43.3333333333,0.0,2.485166666664755,3358.3333333307496,0.0,40676.06833333075,43.3333333333,0.0,181.97833333330453,0.0,10.436457416665014,31289.843749876,-234.8991666666911,27856.65904168568,136.695,410.085,1.0,1.95,1.6574999999989468,14103.3208333311,0.0,0.0,2118.7725,14103.3208333311,43.33333333335271,43.333333333333336,0.0,0.0,181.97833333329507,0.0,10.436457416664473,0.0,31289.843750000193,-234.89916666669916,27856.65904160813,136.695,410.085,1.0,1.95,1.6574999999985995,14103.320833330368,0.0,0.0,0.0,2118.7724999999996,14103.320833330368,43.333333333333336,43.333333333333336,0.0,0.0,0.0
2023-01-24 02:00:00,0.0433333333333333,78.5,0.452785,91,0.0,0.05735,0.15972,0.0695699999999999,75.45644816206669,43.333333333333336,0.0,2.4851666666666667,3401.6666666666665,0.0,41203.435,44605.10166666666,43.3333333333333,0.0,0.0,41.6666666667,0.0,2.389583333335245,3270.83333333595,0.0,44474.268333335945,41.6666666667,0.0,194.4700000000555,0.0,11.152854500003183,31289.843749876,-264.8462499999528,27621.75987501899,150.92833333333334,452.785,1.0,1.8750000000023892,1.593750000002031,15265.895000004355,0.0,0.0,2369.5748333333327,15265.895000004355,41.666666666699385,41.66666666666666,0.0,0.0,194.47000000004223,0.0,11.152854500002421,0.0,31289.843750000193,-264.84624999996413,27621.759874941432,150.92833333333334,452.785,1.0,1.8750000000018183,1.5937500000015454,15265.895000003315,0.0,0.0,0.0,2369.5748333333327,15265.895000003315,41.666666666666664,41.666666666666664,0.0,0.0,0.0
2023-01-24 03:00:00,0.0416666666666666,77.0,0.4679199999999999,91,0.0,0.05735,0.1525099999999999,0.0695699999999999,75.45644816206669,41.66666666666666,0.0,2.389583333333333,3208.333333333333,0.0,42580.72,45789.05333333333,41.6666666666666,0.0,0.0,43.3333333333,0.0,2.485166666664755,3336.6666666641,0.0,45917.3866666641,43.3333333333,0.0,201.25666666663855,0.0,11.542069833331722,31289.843749876,-273.4558333333572,27356.91362501904,155.97333333333333,467.92,1.0,1.95,1.657499999998972,15496.763333331171,0.0,0.0,2401.989333333333,15496.763333331171,43.333333333353366,43.333333333333336,0.0,0.0,201.25666666662946,0.0,11.5420698333312,0.0,31289.843750000193,-273.4558333333649,27356.913624941466,155.97333333333333,467.91999999999996,1.0,1.95,1.6574999999986382,15496.763333330468,0.0,0.0,0.0,2401.989333333333,15496.763333330468,43.333333333333336,43.333333333333336,0.0,0.0,0.0
2023-01-24 04:00:00,0.0433333333333333,78.5,0.788425,91,0.0,0.05735,0.1536,0.0695699999999999,75.45644816206669,43.333333333333336,0.0,2.4851666666666667,3401.6666666666665,0.0,71746.67500000002,75148.34166666669,43.3333333333333,0.0,0.0,41.6666666667,0.0,2.389583333335245,3270.83333333595,0.0,75017.50833333597,41.6666666667,0.0,306.35,0.0,17.5691725,31289.843749876,-488.60624999996367,27083.45779168568,262.80833333333334,788.425,1.0,1.875000000000339,1.5937500000002882,24048.475,0.0,0.0,4126.090833333333,24048.475,41.66666666668963,41.66666666666666,0.0,0.0,306.35,0.0,17.5691725,0.0,31289.843750000193,-488.6062499999726,27083.4577916081,262.80833333333334,788.425,1.0,1.874999999999891,1.5937499999999072,24048.475000000002,0.0,0.0,0.0,4126.090833333333,24048.475000000002,41.666666666666664,41.666666666666664,0.0,0.0,0.0
2023-01-24 05:00:00,0.0433333333333333,78.0,1.336735,91,0.0,0.05735,0.16696,0.0695699999999999,75.45644816206669,43.333333333333336,0.0,2.4851666666666667,3380.0,0.0,121642.885,125022.885,43.3333333333333,0.0,0.0,41.6666666667,0.0,2.389583333335245,3250.0000000026,0.0,124892.8850000026,41.6666666667,0.0,489.1200000000426,0.0,28.051032000002444,31289.843749876,-854.1462499999636,26594.851541685715,445.5783333333333,1336.735,1.0,1.8750000000018363,1.5937500000015608,38151.360000003326,0.0,0.0,6951.021999999999,38151.360000003326,41.66666666668709,41.66666666666666,0.0,0.0,489.1200000000323,0.0,28.05103200000185,0.0,31289.843750000193,-854.1462499999726,26594.851541608128,445.5783333333333,1336.735,1.0,1.8750000000013909,1.5937500000011822,38151.36000000252,0.0,0.0,0.0,6951.021999999999,38151.36000000252,41.666666666666664,41.666666666666664,0.0,0.0,0.0
2023-01-24 06:00:00,0.0433333333333333,75.0,1.580445,91,0.0,0.22622,0.18361,0.0695699999999999,75.45644816206669,43.333333333333336,0.0,9.802866666666668,3250.0,0.0,143820.49500000002,147070.49500000002,43.3333333333333,0.0,0.0,43.3333333333,0.0,9.802866666659126,3249.9999999975,0.0,147070.49499999752,43.3333333333,0.0,572.0983333333081,0.0,129.42008496666097,31289.843749876,-1015.139166666688,25740.70529168575,526.8149999999999,1580.4449999999997,1.0,1.95,1.6575000000003544,42907.37499999811,0.0,0.0,7902.224999999997,42907.37499999811,43.33333333335618,43.333333333333336,0.0,0.0,572.0983333332993,0.0,129.42008496665895,0.0,31289.843750000193,-1015.1391666666955,25740.705291608156,526.8149999999999,1580.4449999999997,1.0,1.95,1.6575000000000304,42907.374999997446,0.0,0.0,0.0,7902.224999999997,42907.374999997446,43.333333333333336,43.333333333333336,0.0,0.0,0.0
2023-01-24 07:00:00,0.0433333333333333,71.5,1.593265,91,0.0,0.22622,0.21,0.0695699999999999,75.45644816206669,43.333333333333336,0.0,9.802866666666668,3098.333333333333,0.0,144987.115,148085.44833333333,43.3333333333333,0.0,0.0,41.6666666667,0.0,9.425833333340876,2979.1666666690503,0.0,147966.28166666903,41.6666666667,0.0,574.6300000000439,0.0,129.99279860000993,31289.843749876,-1025.1662499999627,24725.56612501906,531.0883333333334,1593.265,1.0,1.875000000000388,1.59375000000033,41086.045000003134,0.0,0.0,7594.563166666665,41086.045000003134,41.66666666668887,41.66666666666666,0.0,0.0,574.6300000000342,0.0,129.99279860000775,0.0,31289.843750000193,-1025.166249999971,24725.56612494146,531.0883333333334,1593.265,1.0,1.874999999999971,1.5937499999999751,41086.04500000244,0.0,0.0,0.0,7594.563166666665,41086.04500000244,41.666666666666664,41.666666666666664,0.0,0.0,0.0
2023-01-24 08:00:00,0.0366666666666666,69.5,1.649925,91,0.0146070086083605,0.22622,0.2511,0.0695699999999999,75.45644816206669,35.56447367883811,0.0,8.045395235626758,2471.730920679249,39.67894756305347,150143.17500000002,152654.58486824232,36.6666666666666,1.1022448695868832,0.0,40.0,0.0,9.0488,2780.0,0.0,152923.17500000002,40.0,0.0,591.775000000006,0.0,133.87134050000137,31289.843749876,-1064.419999999995,23700.3998750191,549.975,1649.9250000000002,1.0,1.8,1.530000000000221,41128.36250000042,0.0,0.0,7644.652499999999,41128.36250000042,40.00000000001936,40.0,0.0,0.0,591.7749999999958,0.0,133.87134049999904,0.0,31289.843750000193,-1064.4200000000035,23700.39987494149,549.975,1649.9250000000002,1.0,1.8,1.5299999999998448,41128.362499999705,0.0,0.0,0.0,7644.652499999999,41128.362499999705,40.0,40.0,0.0,0.0,0.0
2023-01-24 09:00:00,0.0283333333333333,68.0,1.71229,91,0.099709572506766,0.22622,0.25643,0.0695699999999999,75.45644816206669,20.80960314418189,0.0,4.707548423276828,1415.053013804369,270.85428680836264,155818.39,157504.29730061276,28.3333333333333,7.524084341360561,0.0,80.0,0.0,18.0976,5440.0,0.0,161258.39,80.0,0.0,654.363333333338,0.0,148.03007326666773,31289.843749876,-1070.4666666666667,22635.979875019104,570.7633333333333,1712.29,1.0,3.6,3.0600000000001715,44496.706666666985,0.0,0.0,7762.381333333331,44496.706666666985,80.00000000001806,80.0,0.0,0.0,654.3633333333586,0.0,148.0300732666724,0.0,31289.843750000193,-1070.4666666666667,22635.979874941488,570.7633333333333,1712.29,1.0,3.6,3.0600000000009238,44496.70666666838,0.0,0.0,0.0,7762.381333333331,44496.70666666838,80.0,80.0,0.0,0.0,0.0
