DATETIME;Puiss_CNRS (KW);Tdepart (°C);Tretour (°C);Tint
2023-04-24 00:00:00;1070.30918230736;63.445;57.13;16.52
2023-04-24 00:01:00;1083.4602988995061;63.4375;57.12833333333333;16.52
2023-04-24 00:02:00;1096.611415491652;63.43;57.126666666666665;16.52
2023-04-24 00:03:00;1109.762532083798;63.4225;57.12499999999999;16.52
2023-04-24 00:04:00;1122.913648675944;63.415;57.12333333333332;16.52
2023-04-24 00:05:00;1136.06476526809;63.4075;57.121666666666655;16.52
2023-04-24 00:06:00;1149.215881860236;63.4;57.11999999999998;16.52
2023-04-24 00:07:00;1162.366998452382;63.3925;57.11833333333331;16.52
2023-04-24 00:08:00;1175.518115044528;63.385;57.11666666666664;16.52
2023-04-24 00:09:00;1188.6692316366739;63.3775;57.114999999999974;16.52
2023-04-24 00:10:00;1201.82034822882;63.37;57.1133333333333;16.52
2023-04-24 00:11:00;1214.971464820966;63.3625;57.11166666666664;16.52
2023-04-24 00:12:00;1228.122581413112;63.355;57.10999999999998;16.52
2023-04-24 00:13:00;1241.273698005258;63.3475;57.10833333333332;16.538333333333334
2023-04-24 00:14:00;1254.424814597404;63.339999999999996;57.10666666666666;16.556666666666665
2023-04-24 00:15:00;1267.57593118955;63.332499999999996;57.105000000000004;16.575
2023-04-24 00:16:00;1280.727047781696;63.325;57.10333333333334;16.593333333333334
2023-04-24 00:17:00;1293.878164373842;63.3175;57.10166666666668;16.611666666666665
2023-04-24 00:18:00;1307.0292809659882;63.31;57.10000000000002;16.63
2023-04-24 00:19:00;1320.180397558134;63.3025;57.09833333333336;16.633333333333333
2023-04-24 00:20:00;1333.33151415028;63.295;57.0966666666667;16.636666666666667
2023-04-24 00:21:00;1330.1730217815511;63.2875;57.09500000000003;16.64
2023-04-24 00:22:00;1327.0145294128222;63.28;57.09333333333336;16.64333333333333
2023-04-24 00:23:00;1323.856037044093;63.2725;57.09166666666669;16.646666666666665
2023-04-24 00:24:00;1320.697544675364;63.265;57.09000000000002;16.65
2023-04-24 00:25:00;1317.539052306635;63.2575;57.08833333333335;16.656666666666666
2023-04-24 00:26:00;1314.3805599379061;63.25;57.08666666666668;16.663333333333334
2023-04-24 00:27:00;1311.2220675691772;63.2425;57.08500000000001;16.67
2023-04-24 00:28:00;1308.063575200448;63.235;57.083333333333336;16.676666666666666
2023-04-24 00:29:00;1304.905082831719;63.2275;57.08166666666667;16.683333333333334
2023-04-24 00:30:00;1301.74659046299;63.22;57.08;16.69
2023-04-24 00:31:00;1291.260592619084;63.21966666666667;57.0785;16.695
2023-04-24 00:32:00;1280.774594775178;63.21933333333334;57.077;16.7
2023-04-24 00:33:00;1270.288596931272;63.21900000000001;57.0755;16.705
2023-04-24 00:34:00;1259.802599087366;63.21866666666668;57.074;16.71
2023-04-24 00:35:00;1249.31660124346;63.21833333333335;57.0725;16.715
2023-04-24 00:36:00;1238.830603399554;63.21800000000002;57.071;16.72
2023-04-24 00:37:00;1228.344605555648;63.21766666666669;57.0695;16.72
2023-04-24 00:38:00;1217.858607711742;63.21733333333336;57.068;16.72
2023-04-24 00:39:00;1207.372609867836;63.21700000000003;57.0665;16.72
2023-04-24 00:40:00;1196.88661202393;63.2166666666667;57.065;16.72
2023-04-24 00:41:00;1186.400614180025;63.21633333333336;57.0635;16.72
2023-04-24 00:42:00;1175.91461633612;63.216000000000015;57.062;16.72
2023-04-24 00:43:00;1165.428618492215;63.21566666666668;57.0605;16.72
2023-04-24 00:44:00;1154.94262064831;63.21533333333334;57.059;16.72
2023-04-24 00:45:00;1144.456622804405;63.215;57.0575;16.72
2023-04-24 00:46:00;1133.9706249605001;63.21466666666666;57.056;16.72
2023-04-24 00:47:00;1123.484627116595;63.21433333333332;57.0545;16.72
2023-04-24 00:48:00;1112.99862927269;63.213999999999984;57.053;16.72
2023-04-24 00:49:00;1102.512631428785;63.21366666666664;57.0515;16.72
2023-04-24 00:50:00;1092.02663358488;63.2133333333333;57.05;16.72
2023-04-24 00:51:00;1081.5406357409743;63.21299999999997;57.0485;16.72
2023-04-24 00:52:00;1071.0546378970685;63.21266666666664;57.047;16.72
2023-04-24 00:53:00;1060.5686400531627;63.21233333333331;57.0455;16.72
2023-04-24 00:54:00;1050.0826422092568;63.21199999999998;57.044;16.72
2023-04-24 00:55:00;1039.596644365351;63.21166666666665;57.0425;16.72
2023-04-24 00:56:00;1029.1106465214452;63.21133333333332;57.041;16.72
2023-04-24 00:57:00;1018.6246486775394;63.21099999999999;57.0395;16.72
2023-04-24 00:58:00;1008.1386508336336;63.21066666666666;57.038;16.72
2023-04-24 00:59:00;997.6526529897278;63.21033333333333;57.0365;16.72
2023-04-24 01:00:00;987.166655145822;63.21;57.035;16.72
2023-04-24 01:01:00;976.6806573019164;63.20966666666667;57.0335;16.74833333333333
2023-04-24 01:02:00;966.1946594580108;63.20933333333334;57.032;16.776666666666667
2023-04-24 01:03:00;955.7086616141052;63.20900000000001;57.030499999999996;16.805
2023-04-24 01:04:00;945.2226637701996;63.20866666666668;57.028999999999996;16.833333333333332
2023-04-24 01:05:00;934.736665926294;63.20833333333335;57.0275;16.861666666666668
2023-04-24 01:06:00;924.2506680823884;63.20800000000002;57.026;16.89
2023-04-24 01:07:00;913.7646702384828;63.20766666666669;57.0245;16.895
2023-04-24 01:08:00;903.2786723945771;63.20733333333336;57.023;16.900000000000002
2023-04-24 01:09:00;892.7926745506716;63.20700000000003;57.0215;16.905
2023-04-24 01:10:00;882.306676706766;63.2066666666667;57.02;16.91
